image_path,experiment_day,plate_id,well_id,field,cell_line,treatment,concentration_ug_per_ml,exposure_hours,control_type,replicate,viability_fraction,mts_absorbance,mts_blank_absorbance,micrometers_per_pixel,operator,permission_status,notes
,day-2,plate-day-2,B02,1,RAW264.7,Tribonema extract,100.0,12.0,treated,2,,,,,,,
,day-2,plate-day-2,B02,2,RAW264.7,Tribonema extract,100.0,12.0,treated,2,,,,,,,
,day-2,plate-day-2,B02,1,RAW264.7,Tribonema extract,100.0,24.0,treated,2,,,,,,,
,day-2,plate-day-2,B02,2,RAW264.7,Tribonema extract,100.0,24.0,treated,2,,,,,,,
,day-2,plate-day-2,B02,1,RAW264.7,Tribonema extract,100.0,48.0,treated,2,,,,,,,
,day-2,plate-day-2,B02,2,RAW264.7,Tribonema extract,100.0,48.0,treated,2,,,,,,,
,day-2,plate-day-2,B03,1,RAW264.7,Tribonema extract,100.0,0.0,treated,3,,,,,,,
,day-2,plate-day-2,B03,2,RAW264.7,Tribonema extract,100.0,0.0,treated,3,,,,,,,
,day-2,plate-day-2,B03,1,RAW264.7,Tribonema extract,100.0,6.0,treated,3,,,,,,,
,day-2,plate-day-2,B03,2,RAW264.7,Tribonema extract,100.0,6.0,treated,3,,,,,,,
,day-2,plate-day-2,B03,1,RAW264.7,Tribonema extract,100.0,12.0,treated,3,,,,,,,
,day-2,plate-day-2,B03,2,RAW264.7,Tribonema extract,100.0,12.0,treated,3,,,,,,,
,day-2,plate-day-2,B03,1,RAW264.7,Tribonema extract,100.0,24.0,treated,3,,,,,,,
,day-2,plate-day-2,B03,2,RAW264.7,Tribonema extract,100.0,24.0,treated,3,,,,,,,
,day-2,plate-day-2,B03,1,RAW264.7,Tribonema extract,100.0,48.0,treated,3,,,,,,,
,day-2,plate-day-2,B03,2,RAW264.7,Tribonema extract,100.0,48.0,treated,3,,,,,,,
,day-2,plate-day-2,B04,1,RAW264.7,Tribonema extract,200.0,0.0,treated,1,,,,,,,
,day-2,plate-day-2,B04,2,RAW264.7,Tribonema extract,200.0,0.0,treated,1,,,,,,,
,day-2,plate-day-2,B04,1,RAW264.7,Tribonema extract,200.0,6.0,treated,1,,,,,,,
,day-2,plate-day-2,B04,2,RAW264.7,Tribonema extract,200.0,6.0,treated,1,,,,,,,
,day-2,plate-day-2,B04,1,RAW264.7,Tribonema extract,200.0,12.0,treated,1,,,,,,,
,day-2,plate-day-2,B04,2,RAW264.7,Tribonema extract,200.0,12.0,treated,1,,,,,,,
,day-2,plate-day-2,B04,1,RAW264.7,Tribonema extract,200.0,24.0,treated,1,,,,,,,
,day-2,plate-day-2,B04,2,RAW264.7,Tribonema extract,200.0,24.0,treated,1,,,,,,,
,day-2,plate-day-2,B04,1,RAW264.7,Tribonema extract,200.0,48.0,treated,1,,,,,,,
,day-2,plate-day-2,B04,2,RAW264.7,Tribonema extract,200.0,48.0,treated,1,,,,,,,
,day-2,plate-day-2,B05,1,RAW264.7,Tribonema extract,200.0,0.0,treated,2,,,,,,,
,day-2,plate-day-2,B05,2,RAW264.7,Tribonema extract,200.0,0.0,treated,2,,,,,,,
,day-2,plate-day-2,B05,1,RAW264.7,Tribonema extract,200.0,6.0,treated,2,,,,,,,
,day-2,plate-day-2,B05,2,RAW264.7,Tribonema extract,200.0,6.0,treated,2,,,,,,,
,day-2,plate-day-2,B05,1,RAW264.7,Tribonema extract,200.0,12.0,treated,2,,,,,,,
,day-2,plate-day-2,B05,2,RAW264.7,Tribonema extract,200.0,12.0,treated,2,,,,,,,
,day-2,plate-day-2,B05,1,RAW264.7,Tribonema extract,200.0,24.0,treated,2,,,,,,,
,day-2,plate-day-2,B05,2,RAW264.7,Tribonema extract,200.0,24.0,treated,2,,,,,,,
,day-2,plate-day-2,B05,1,RAW264.7,Tribonema extract,200.0,48.0,treated,2,,,,,,,
,day-2,plate-day-2,B05,2,RAW264.7,Tribonema extract,200.0,48.0,treated,2,,,,,,,
,day-2,plate-day-2,B06,1,RAW264.7,Tribonema extract,200.0,0.0,treated,3,,,,,,,
,day-2,plate-day-2,B06,2,RAW264.7,Tribonema extract,200.0,0.0,treated,3,,,,,,,
,day-2,plate-day-2,B06,1,RAW264.7,Tribonema extract,200.0,6.0,treated,3,,,,,,,
,day-2,plate-day-2,B06,2,RAW264.7,Tribonema extract,200.0,6.0,treated,3,,,,,,,
,day-2,plate-day-2,B06,1,RAW264.7,Tribonema extract,200.0,12.0,treated,3,,,,,,,
,day-2,plate-day-2,B06,2,RAW264.7,Tribonema extract,200.0,12.0,treated,3,,,,,,,
,day-2,plate-day-2,B06,1,RAW264.7,Tribonema extract,200.0,24.0,treated,3,,,,,,,
,day-2,plate-day-2,B06,2,RAW264.7,Tribonema extract,200.0,24.0,treated,3,,,,,,,
,day-2,plate-day-2,B06,1,RAW264.7,Tribonema extract,200.0,48.0,treated,3,,,,,,,
,day-2,plate-day-2,B06,2,RAW264.7,Tribonema extract,200.0,48.0,treated,3,,,,,,,
,day-2,plate-day-2,B07,1,RAW264.7,doxorubicin,5.0,0.0,positive,1,,,,,,,
,day-2,plate-day-2,B07,2,RAW264.7,doxorubicin,5.0,0.0,positive,1,,,,,,,
,day-2,plate-day-2,B07,1,RAW264.7,doxorubicin,5.0,6.0,positive,1,,,,,,,
,day-2,plate-day-2,B07,2,RAW264.7,doxorubicin,5.0,6.0,positive,1,,,,,,,
,day-2,plate-day-2,B07,1,RAW264.7,doxorubicin,5.0,12.0,positive,1,,,,,,,
,day-2,plate-day-2,B07,2,RAW264.7,doxorubicin,5.0,12.0,positive,1,,,,,,,
,day-2,plate-day-2,B07,1,RAW264.7,doxorubicin,5.0,24.0,positive,1,,,,,,,
,day-2,plate-day-2,B07,2,RAW264.7,doxorubicin,5.0,24.0,positive,1,,,,,,,
,day-2,plate-day-2,B07,1,RAW264.7,doxorubicin,5.0,48.0,positive,1,,,,,,,
,day-2,plate-day-2,B07,2,RAW264.7,doxorubicin,5.0,48.0,positive,1,,,,,,,
,day-2,plate-day-2,B08,1,RAW264.7,doxorubicin,5.0,0.0,positive,2,,,,,,,
,day-2,plate-day-2,B08,2,RAW264.7,doxorubicin,5.0,0.0,positive,2,,,,,,,
,day-2,plate-day-2,B08,1,RAW264.7,doxorubicin,5.0,6.0,positive,2,,,,,,,
,day-2,plate-day-2,B08,2,RAW264.7,doxorubicin,5.0,6.0,positive,2,,,,,,,
,day-2,plate-day-2,B08,1,RAW264.7,doxorubicin,5.0,12.0,positive,2,,,,,,,
,day-2,plate-day-2,B08,2,RAW264.7,doxorubicin,5.0,12.0,positive,2,,,,,,,
,day-2,plate-day-2,B08,1,RAW264.7,doxorubicin,5.0,24.0,positive,2,,,,,,,
,day-2,plate-day-2,B08,2,RAW264.7,doxorubicin,5.0,24.0,positive,2,,,,,,,
,day-2,plate-day-2,B08,1,RAW264.7,doxorubicin,5.0,48.0,positive,2,,,,,,,
,day-2,plate-day-2,B08,2,RAW264.7,doxorubicin,5.0,48.0,positive,2,,,,,,,
,day-2,plate-day-2,B09,1,RAW264.7,doxorubicin,5.0,0.0,positive,3,,,,,,,
,day-2,plate-day-2,B09,2,RAW264.7,doxorubicin,5.0,0.0,positive,3,,,,,,,
,day-2,plate-day-2,B09,1,RAW264.7,doxorubicin,5.0,6.0,positive,3,,,,,,,
,day-2,plate-day-2,B09,2,RAW264.7,doxorubicin,5.0,6.0,positive,3,,,,,,,
,day-2,plate-day-2,B09,1,RAW264.7,doxorubicin,5.0,12.0,positive,3,,,,,,,
,day-2,plate-day-2,B09,2,RAW264.7,doxorubicin,5.0,12.0,positive,3,,,,,,,
,day-2,plate-day-2,B09,1,RAW264.7,doxorubicin,5.0,24.0,positive,3,,,,,,,
,day-2,plate-day-2,B09,2,RAW264.7,doxorubicin,5.0,24.0,positive,3,,,,,,,
,day-2,plate-day-2,B09,1,RAW264.7,doxorubicin,5.0,48.0,positive,3,,,,,,,
,day-2,plate-day-2,B09,2,RAW264.7,doxorubicin,5.0,48.0,positive,3,,,,,,,
,day-3,plate-day-3,A01,1,RAW264.7,Tribonema extract,0.0,0.0,vehicle,1,,,,,,,
,day-3,plate-day-3,A01,2,RAW264.7,Tribonema extract,0.0,0.0,vehicle,1,,,,,,,
,day-3,plate-day-3,A01,1,RAW264.7,Tribonema extract,0.0,6.0,vehicle,1,,,,,,,
,day-3,plate-day-3,A01,2,RAW264.7,Tribonema extract,0.0,6.0,vehicle,1,,,,,,,
,day-3,plate-day-3,A01,1,RAW264.7,Tribonema extract,0.0,12.0,vehicle,1,,,,,,,
,day-3,plate-day-3,A01,2,RAW264.7,Tribonema extract,0.0,12.0,vehicle,1,,,,,,,
,day-3,plate-day-3,A01,1,RAW264.7,Tribonema extract,0.0,24.0,vehicle,1,,,,,,,
,day-3,plate-day-3,A01,2,RAW264.7,Tribonema extract,0.0,24.0,vehicle,1,,,,,,,
,day-3,plate-day-3,A01,1,RAW264.7,Tribonema extract,0.0,48.0,vehicle,1,,,,,,,
,day-3,plate-day-3,A01,2,RAW264.7,Tribonema extract,0.0,48.0,vehicle,1,,,,,,,
,day-3,plate-day-3,A02,1,RAW264.7,Tribonema extract,0.0,0.0,vehicle,2,,,,,,,
,day-3,plate-day-3,A02,2,RAW264.7,Tribonema extract,0.0,0.0,vehicle,2,,,,,,,
,day-3,plate-day-3,A02,1,RAW264.7,Tribonema extract,0.0,6.0,vehicle,2,,,,,,,
,day-3,plate-day-3,A02,2,RAW264.7,Tribonema extract,0.0,6.0,vehicle,2,,,,,,,
,day-3,plate-day-3,A02,1,RAW264.7,Tribonema extract,0.0,12.0,vehicle,2,,,,,,,
,day-3,plate-day-3,A02,2,RAW264.7,Tribonema extract,0.0,12.0,vehicle,2,,,,,,,
,day-3,plate-day-3,A02,1,RAW264.7,Tribonema extract,0.0,24.0,vehicle,2,,,,,,,
,day-3,plate-day-3,A02,2,RAW264.7,Tribonema extract,0.0,24.0,vehicle,2,,,,,,,
,day-3,plate-day-3,A02,1,RAW264.7,Tribonema extract,0.0,48.0,vehicle,2,,,,,,,
,day-3,plate-day-3,A02,2,RAW264.7,Tribonema extract,0.0,48.0,vehicle,2,,,,,,,
,day-3,plate-day-3,A03,1,RAW264.7,Tribonema extract,0.0,0.0,vehicle,3,,,,,,,
,day-3,plate-day-3,A03,2,RAW264.7,Tribonema extract,0.0,0.0,vehicle,3,,,,,,,
,day-3,plate-day-3,A03,1,RAW264.7,Tribonema extract,0.0,6.0,vehicle,3,,,,,,,
,day-3,plate-day-3,A03,2,RAW264.7,Tribonema extract,0.0,6.0,vehicle,3,,,,,,,
,day-3,plate-day-3,A03,1,RAW264.7,Tribonema extract,0.0,12.0,vehicle,3,,,,,,,
,day-3,plate-day-3,A03,2,RAW264.7,Tribonema extract,0.0,12.0,vehicle,3,,,,,,,
,day-3,plate-day-3,A03,1,RAW264.7,Tribonema extract,0.0,24.0,vehicle,3,,,,,,,
,day-3,plate-day-3,A03,2,RAW264.7,Tribonema extract,0.0,24.0,vehicle,3,,,,,,,
,day-3,plate-day-3,A03,1,RAW264.7,Tribonema extract,0.0,48.0,vehicle,3,,,,,,,
,day-3,plate-day-3,A03,2,RAW264.7,Tribonema extract,0.0,48.0,vehicle,3,,,,,,,
,day-3,plate-day-3,A04,1,RAW264.7,Tribonema extract,12.5,0.0,treated,1,,,,,,,
,day-3,plate-day-3,A04,2,RAW264.7,Tribonema extract,12.5,0.0,treated,1,,,,,,,
,day-3,plate-day-3,A04,1,RAW264.7,Tribonema extract,12.5,6.0,treated,1,,,,,,,
,day-3,plate-day-3,A04,2,RAW264.7,Tribonema extract,12.5,6.0,treated,1,,,,,,,
,day-3,plate-day-3,A04,1,RAW264.7,Tribonema extract,12.5,12.0,treated,1,,,,,,,
,day-3,plate-day-3,A04,2,RAW264.7,Tribonema extract,12.5,12.0,treated,1,,,,,,,
,day-3,plate-day-3,A04,1,RAW264.7,Tribonema extract,12.5,24.0,treated,1,,,,,,,
,day-3,plate-day-3,A04,2,RAW264.7,Tribonema extract,12.5,24.0,treated,1,,,,,,,
,day-3,plate-day-3,A04,1,RAW264.7,Tribonema extract,12.5,48.0,treated,1,,,,,,,
,day-3,plate-day-3,A04,2,RAW264.7,Tribonema extract,12.5,48.0,treated,1,,,,,,,
,day-3,plate-day-3,A05,1,RAW264.7,Tribonema extract,12.5,0.0,treated,2,,,,,,,
,day-3,plate-day-3,A05,2,RAW264.7,Tribonema extract,12.5,0.0,treated,2,,,,,,,
,day-3,plate-day-3,A05,1,RAW264.7,Tribonema extract,12.5,6.0,treated,2,,,,,,,
,day-3,plate-day-3,A05,2,RAW264.7,Tribonema extract,12.5,6.0,treated,2,,,,,,,
,day-3,plate-day-3,A05,1,RAW264.7,Tribonema extract,12.5,12.0,treated,2,,,,,,,
,day-3,plate-day-3,A05,2,RAW264.7,Tribonema extract,12.5,12.0,treated,2,,,,,,,
,day-3,plate-day-3,A05,1,RAW264.7,Tribonema extract,12.5,24.0,treated,2,,,,,,,
,day-3,plate-day-3,A05,2,RAW264.7,Tribonema extract,12.5,24.0,treated,2,,,,,,,
,day-3,plate-day-3,A05,1,RAW264.7,Tribonema extract,12.5,48.0,treated,2,,,,,,,
,day-3,plate-day-3,A05,2,RAW264.7,Tribonema extract,12.5,48.0,treated,2,,,,,,,
,day-3,plate-day-3,A06,1,RAW264.7,Tribonema extract,12.5,0.0,treated,3,,,,,,,
,day-3,plate-day-3,A06,2,RAW264.7,Tribonema extract,12.5,0.0,treated,3,,,,,,,
,day-3,plate-day-3,A06,1,RAW264.7,Tribonema extract,12.5,6.0,treated,3,,,,,,,
,day-3,plate-day-3,A06,2,RAW264.7,Tribonema extract,12.5,6.0,treated,3,,,,,,,
,day-3,plate-day-3,A06,1,RAW264.7,Tribonema extract,12.5,12.0,treated,3,,,,,,,
,day-3,plate-day-3,A06,2,RAW264.7,Tribonema extract,12.5,12.0,treated,3,,,,,,,
,day-3,plate-day-3,A06,1,RAW264.7,Tribonema extract,12.5,24.0,treated,3,,,,,,,
,day-3,plate-day-3,A06,2,RAW264.7,Tribonema extract,12.5,24.0,treated,3,,,,,,,
,day-3,plate-day-3,A06,1,RAW264.7,Tribonema extract,12.5,48.0,treated,3,,,,,,,
,day-3,plate-day-3,A06,2,RAW264.7,Tribonema extract,12.5,48.0,treated,3,,,,,,,
,day-3,plate-day-3,A07,1,RAW264.7,Tribonema extract,25.0,0.0,treated,1,,,,,,,
,day-3,plate-day-3,A07,2,RAW264.7,Tribonema extract,25.0,0.0,treated,1,,,,,,,
,day-3,plate-day-3,A07,1,RAW264.7,Tribonema extract,25.0,6.0,treated,1,,,,,,,
,day-3,plate-day-3,A07,2,RAW264.7,Tribonema extract,25.0,6.0,treated,1,,,,,,,
,day-3,plate-day-3,A07,1,RAW264.7,Tribonema extract,25.0,12.0,treated,1,,,,,,,
,day-3,plate-day-3,A07,2,RAW264.7,Tribonema extract,25.0,12.0,treated,1,,,,,,,
,day-3,plate-day-3,A07,1,RAW264.7,Tribonema extract,25.0,24.0,treated,1,,,,,,,
,day-3,plate-day-3,A07,2,RAW264.7,Tribonema extract,25.0,24.0,treated,1,,,,,,,
,day-3,plate-day-3,A07,1,RAW264.7,Tribonema extract,25.0,48.0,treated,1,,,,,,,
,day-3,plate-day-3,A07,2,RAW264.7,Tribonema extract,25.0,48.0,treated,1,,,,,,,
,day-3,plate-day-3,A08,1,RAW264.7,Tribonema extract,25.0,0.0,treated,2,,,,,,,
,day-3,plate-day-3,A08,2,RAW264.7,Tribonema extract,25.0,0.0,treated,2,,,,,,,
,day-3,plate-day-3,A08,1,RAW264.7,Tribonema extract,25.0,6.0,treated,2,,,,,,,
,day-3,plate-day-3,A08,2,RAW264.7,Tribonema extract,25.0,6.0,treated,2,,,,,,,
,day-3,plate-day-3,A08,1,RAW264.7,Tribonema extract,25.0,12.0,treated,2,,,,,,,
,day-3,plate-day-3,A08,2,RAW264.7,Tribonema extract,25.0,12.0,treated,2,,,,,,,
,day-3,plate-day-3,A08,1,RAW264.7,Tribonema extract,25.0,24.0,treated,2,,,,,,,
,day-3,plate-day-3,A08,2,RAW264.7,Tribonema extract,25.0,24.0,treated,2,,,,,,,
,day-3,plate-day-3,A08,1,RAW264.7,Tribonema extract,25.0,48.0,treated,2,,,,,,,
,day-3,plate-day-3,A08,2,RAW264.7,Tribonema extract,25.0,48.0,treated,2,,,,,,,
,day-3,plate-day-3,A09,1,RAW264.7,Tribonema extract,25.0,0.0,treated,3,,,,,,,
,day-3,plate-day-3,A09,2,RAW264.7,Tribonema extract,25.0,0.0,treated,3,,,,,,,
,day-3,plate-day-3,A09,1,RAW264.7,Tribonema extract,25.0,6.0,treated,3,,,,,,,
,day-3,plate-day-3,A09,2,RAW264.7,Tribonema extract,25.0,6.0,treated,3,,,,,,,
,day-3,plate-day-3,A09,1,RAW264.7,Tribonema extract,25.0,12.0,treated,3,,,,,,,
,day-3,plate-day-3,A09,2,RAW264.7,Tribonema extract,25.0,12.0,treated,3,,,,,,,
,day-3,plate-day-3,A09,1,RAW264.7,Tribonema extract,25.0,24.0,treated,3,,,,,,,
,day-3,plate-day-3,A09,2,RAW264.7,Tribonema extract,25.0,24.0,treated,3,,,,,,,
,day-3,plate-day-3,A09,1,RAW264.7,Tribonema extract,25.0,48.0,treated,3,,,,,,,
,day-3,plate-day-3,A09,2,RAW264.7,Tribonema extract,25.0,48.0,treated,3,,,,,,,
,day-3,plate-day-3,A10,1,RAW264.7,Tribonema extract,50.0,0.0,treated,1,,,,,,,
,day-3,plate-day-3,A10,2,RAW264.7,Tribonema extract,50.0,0.0,treated,1,,,,,,,
,day-3,plate-day-3,A10,1,RAW264.7,Tribonema extract,50.0,6.0,treated,1,,,,,,,
,day-3,plate-day-3,A10,2,RAW264.7,Tribonema extract,50.0,6.0,treated,1,,,,,,,
,day-3,plate-day-3,A10,1,RAW264.7,Tribonema extract,50.0,12.0,treated,1,,,,,,,
,day-3,plate-day-3,A10,2,RAW264.7,Tribonema extract,50.0,12.0,treated,1,,,,,,,
,day-3,plate-day-3,A10,1,RAW264.7,Tribonema extract,50.0,24.0,treated,1,,,,,,,
,day-3,plate-day-3,A10,2,RAW264.7,Tribonema extract,50.0,24.0,treated,1,,,,,,,
,day-3,plate-day-3,A10,1,RAW264.7,Tribonema extract,50.0,48.0,treated,1,,,,,,,
,day-3,plate-day-3,A10,2,RAW264.7,Tribonema extract,50.0,48.0,treated,1,,,,,,,
,day-3,plate-day-3,A11,1,RAW264.7,Tribonema extract,50.0,0.0,treated,2,,,,,,,
,day-3,plate-day-3,A11,2,RAW264.7,Tribonema extract,50.0,0.0,treated,2,,,,,,,
,day-3,plate-day-3,A11,1,RAW264.7,Tribonema extract,50.0,6.0,treated,2,,,,,,,
,day-3,plate-day-3,A11,2,RAW264.7,Tribonema extract,50.0,6.0,treated,2,,,,,,,
,day-3,plate-day-3,A11,1,RAW264.7,Tribonema extract,50.0,12.0,treated,2,,,,,,,
,day-3,plate-day-3,A11,2,RAW264.7,Tribonema extract,50.0,12.0,treated,2,,,,,,,
,day-3,plate-day-3,A11,1,RAW264.7,Tribonema extract,50.0,24.0,treated,2,,,,,,,
,day-3,plate-day-3,A11,2,RAW264.7,Tribonema extract,50.0,24.0,treated,2,,,,,,,
,day-3,plate-day-3,A11,1,RAW264.7,Tribonema extract,50.0,48.0,treated,2,,,,,,,
,day-3,plate-day-3,A11,2,RAW264.7,Tribonema extract,50.0,48.0,treated,2,,,,,,,
,day-3,plate-day-3,A12,1,RAW264.7,Tribonema extract,50.0,0.0,treated,3,,,,,,,
,day-3,plate-day-3,A12,2,RAW264.7,Tribonema extract,50.0,0.0,treated,3,,,,,,,
,day-3,plate-day-3,A12,1,RAW264.7,Tribonema extract,50.0,6.0,treated,3,,,,,,,
,day-3,plate-day-3,A12,2,RAW264.7,Tribonema extract,50.0,6.0,treated,3,,,,,,,
,day-3,plate-day-3,A12,1,RAW264.7,Tribonema extract,50.0,12.0,treated,3,,,,,,,
,day-3,plate-day-3,A12,2,RAW264.7,Tribonema extract,50.0,12.0,treated,3,,,,,,,
,day-3,plate-day-3,A12,1,RAW264.7,Tribonema extract,50.0,24.0,treated,3,,,,,,,
,day-3,plate-day-3,A12,2,RAW264.7,Tribonema extract,50.0,24.0,treated,3,,,,,,,
,day-3,plate-day-3,A12,1,RAW264.7,Tribonema extract,50.0,48.0,treated,3,,,,,,,
,day-3,plate-day-3,A12,2,RAW264.7,Tribonema extract,50.0,48.0,treated,3,,,,,,,
,day-3,plate-day-3,B01,1,RAW264.7,Tribonema extract,100.0,0.0,treated,1,,,,,,,
,day-3,plate-day-3,B01,2,RAW264.7,Tribonema extract,100.0,0.0,treated,1,,,,,,,
,day-3,plate-day-3,B01,1,RAW264.7,Tribonema extract,100.0,6.0,treated,1,,,,,,,
,day-3,plate-day-3,B01,2,RAW264.7,Tribonema extract,100.0,6.0,treated,1,,,,,,,
,day-3,plate-day-3,B01,1,RAW264.7,Tribonema extract,100.0,12.0,treated,1,,,,,,,
,day-3,plate-day-3,B01,2,RAW264.7,Tribonema extract,100.0,12.0,treated,1,,,,,,,
,day-3,plate-day-3,B01,1,RAW264.7,Tribonema extract,100.0,24.0,treated,1,,,,,,,
,day-3,plate-day-3,B01,2,RAW264.7,Tribonema extract,100.0,24.0,treated,1,,,,,,,
,day-3,plate-day-3,B01,1,RAW264.7,Tribonema extract,100.0,48.0,treated,1,,,,,,,
,day-3,plate-day-3,B01,2,RAW264.7,Tribonema extract,100.0,48.0,treated,1,,,,,,,
,day-3,plate-day-3,B02,1,RAW264.7,Tribonema extract,100.0,0.0,treated,2,,,,,,,
,day-3,plate-day-3,B02,2,RAW264.7,Tribonema extract,100.0,0.0,treated,2,,,,,,,
,day-3,plate-day-3,B02,1,RAW264.7,Tribonema extract,100.0,6.0,treated,2,,,,,,,
,day-3,plate-day-3,B02,2,RAW264.7,Tribonema extract,100.0,6.0,treated,2,,,,,,,
,day-3,plate-day-3,B02,1,RAW264.7,Tribonema extract,100.0,12.0,treated,2,,,,,,,
,day-3,plate-day-3,B02,2,RAW264.7,Tribonema extract,100.0,12.0,treated,2,,,,,,,
,day-3,plate-day-3,B02,1,RAW264.7,Tribonema extract,100.0,24.0,treated,2,,,,,,,
,day-3,plate-day-3,B02,2,RAW264.7,Tribonema extract,100.0,24.0,treated,2,,,,,,,
,day-3,plate-day-3,B02,1,RAW264.7,Tribonema extract,100.0,48.0,treated,2,,,,,,,
,day-3,plate-day-3,B02,2,RAW264.7,Tribonema extract,100.0,48.0,treated,2,,,,,,,
,day-3,plate-day-3,B03,1,RAW264.7,Tribonema extract,100.0,0.0,treated,3,,,,,,,
,day-3,plate-day-3,B03,2,RAW264.7,Tribonema extract,100.0,0.0,treated,3,,,,,,,
,day-3,plate-day-3,B03,1,RAW264.7,Tribonema extract,100.0,6.0,treated,3,,,,,,,
,day-3,plate-day-3,B03,2,RAW264.7,Tribonema extract,100.0,6.0,treated,3,,,,,,,
,day-3,plate-day-3,B03,1,RAW264.7,Tribonema extract,100.0,12.0,treated,3,,,,,,,
,day-3,plate-day-3,B03,2,RAW264.7,Tribonema extract,100.0,12.0,treated,3,,,,,,,
,day-3,plate-day-3,B03,1,RAW264.7,Tribonema extract,100.0,24.0,treated,3,,,,,,,
,day-3,plate-day-3,B03,2,RAW264.7,Tribonema extract,100.0,24.0,treated,3,,,,,,,
,day-3,plate-day-3,B03,1,RAW264.7,Tribonema extract,100.0,48.0,treated,3,,,,,,,
,day-3,plate-day-3,B03,2,RAW264.7,Tribonema extract,100.0,48.0,treated,3,,,,,,,
,day-3,plate-day-3,B04,1,RAW264.7,Tribonema extract,200.0,0.0,treated,1,,,,,,,
,day-3,plate-day-3,B04,2,RAW264.7,Tribonema extract,200.0,0.0,treated,1,,,,,,,
,day-3,plate-day-3,B04,1,RAW264.7,Tribonema extract,200.0,6.0,treated,1,,,,,,,
,day-3,plate-day-3,B04,2,RAW264.7,Tribonema extract,200.0,6.0,treated,1,,,,,,,
,day-3,plate-day-3,B04,1,RAW264.7,Tribonema extract,200.0,12.0,treated,1,,,,,,,
,day-3,plate-day-3,B04,2,RAW264.7,Tribonema extract,200.0,12.0,treated,1,,,,,,,
,day-3,plate-day-3,B04,1,RAW264.7,Tribonema extract,200.0,24.0,treated,1,,,,,,,
,day-3,plate-day-3,B04,2,RAW264.7,Tribonema extract,200.0,24.0,treated,1,,,,,,,
,day-3,plate-day-3,B04,1,RAW264.7,Tribonema extract,200.0,48.0,treated,1,,,,,,,
,day-3,plate-day-3,B04,2,RAW264.7,Tribonema extract,200.0,48.0,treated,1,,,,,,,
,day-3,plate-day-3,B05,1,RAW264.7,Tribonema extract,200.0,0.0,treated,2,,,,,,,
,day-3,plate-day-3,B05,2,RAW264.7,Tribonema extract,200.0,0.0,treated,2,,,,,,,
,day-3,plate-day-3,B05,1,RAW264.7,Tribonema extract,200.0,6.0,treated,2,,,,,,,
,day-3,plate-day-3,B05,2,RAW264.7,Tribonema extract,200.0,6.0,treated,2,,,,,,,
,day-3,plate-day-3,B05,1,RAW264.7,Tribonema extract,200.0,12.0,treated,2,,,,,,,
,day-3,plate-day-3,B05,2,RAW264.7,Tribonema extract,200.0,12.0,treated,2,,,,,,,
,day-3,plate-day-3,B05,1,RAW264.7,Tribonema extract,200.0,24.0,treated,2,,,,,,,
,day-3,plate-day-3,B05,2,RAW264.7,Tribonema extract,200.0,24.0,treated,2,,,,,,,
,day-3,plate-day-3,B05,1,RAW264.7,Tribonema extract,200.0,48.0,treated,2,,,,,,,
,day-3,plate-day-3,B05,2,RAW264.7,Tribonema extract,200.0,48.0,treated,2,,,,,,,
,day-3,plate-day-3,B06,1,RAW264.7,Tribonema extract,200.0,0.0,treated,3,,,,,,,
,day-3,plate-day-3,B06,2,RAW264.7,Tribonema extract,200.0,0.0,treated,3,,,,,,,
,day-3,plate-day-3,B06,1,RAW264.7,Tribonema extract,200.0,6.0,treated,3,,,,,,,
,day-3,plate-day-3,B06,2,RAW264.7,Tribonema extract,200.0,6.0,treated,3,,,,,,,
,day-3,plate-day-3,B06,1,RAW264.7,Tribonema extract,200.0,12.0,treated,3,,,,,,,
,day-3,plate-day-3,B06,2,RAW264.7,Tribonema extract,200.0,12.0,treated,3,,,,,,,
,day-3,plate-day-3,B06,1,RAW264.7,Tribonema extract,200.0,24.0,treated,3,,,,,,,
,day-3,plate-day-3,B06,2,RAW264.7,Tribonema extract,200.0,24.0,treated,3,,,,,,,
,day-3,plate-day-3,B06,1,RAW264.7,Tribonema extract,200.0,48.0,treated,3,,,,,,,
,day-3,plate-day-3,B06,2,RAW264.7,Tribonema extract,200.0,48.0,treated,3,,,,,,,
,day-3,plate-day-3,B07,1,RAW264.7,doxorubicin,5.0,0.0,positive,1,,,,,,,
,day-3,plate-day-3,B07,2,RAW264.7,doxorubicin,5.0,0.0,positive,1,,,,,,,
,day-3,plate-day-3,B07,1,RAW264.7,doxorubicin,5.0,6.0,positive,1,,,,,,,
,day-3,plate-day-3,B07,2,RAW264.7,doxorubicin,5.0,6.0,positive,1,,,,,,,
,day-3,plate-day-3,B07,1,RAW264.7,doxorubicin,5.0,12.0,positive,1,,,,,,,
,day-3,plate-day-3,B07,2,RAW264.7,doxorubicin,5.0,12.0,positive,1,,,,,,,
,day-3,plate-day-3,B07,1,RAW264.7,doxorubicin,5.0,24.0,positive,1,,,,,,,
,day-3,plate-day-3,B07,2,RAW264.7,doxorubicin,5.0,24.0,positive,1,,,,,,,
,day-3,plate-day-3,B07,1,RAW264.7,doxorubicin,5.0,48.0,positive,1,,,,,,,
,day-3,plate-day-3,B07,2,RAW264.7,doxorubicin,5.0,48.0,positive,1,,,,,,,
